Country Name,2015,2016,2017,2018,2019
Afghanistan,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043
Africa Eastern and Southern,1498.87524,1334.4705,1528.104224,1552.073722,1507.0856
Africa Western and Central,1860.727686,1630.039439,1574.230564,1720.140092,2216.385055
Albania,4199.539129,4457.634122,5006.36013,5897.654526,6069.439031
Algeria,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419
American Samoa,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595
Andorra,38654.95288,40129.83858,40672.97174,42819.75775,41257.81646
Angola,3641.728939,2051.814621,2790.718869,2860.093648,2493.678844
Antigua and Barbuda,16077.63408,16556.85518,16965.72883,18273.42707,18896.37218
Arab World,6290.558795,6042.196754,6096.72395,6699.180582,6674.342244
Argentina,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787
Armenia,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874
Aruba,27458.22015,27441.55021,28440.04169,30082.15842,30645.8906
Australia,56970.3613,50084.44406,54117.54772,57410.17373,55194.75851
Austria,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474
Azerbaijan,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718
"Bahamas, The",30719.40542,30616.53632,31875.48817,32642.33532,33640.33699
Bahrain,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386
Bangladesh,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897
Barbados,20424.20875,20295.56721,20284.57621,21381.24263,21912.15012
Belarus,5967.055951,5039.775609,5785.544919,6360.037502,6837.773396
Belgium,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275
Belize,6154.622642,6140.867139,6071.854518,6011.990369,6171.614498
Benin,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353
Bermuda,104855.3668,108747.3561,112339.4256,113204.8221,115798.0408
Bhutan,2954.040819,3152.309051,3435.288047,3400.204172,3576.879871
Bolivia,2996.012898,3035.873477,4048.401197,4206.855294,4203.154929
Bosnia and Herzegovina,4662.258692,4928.56659,5345.019788,6047.847072,6122.375414
