Country Name,2015,2016,2017,2018,2019
Afghanistan,62.27,62.646,62.406,62.443,62.941
Africa Eastern and Southern,61.71303052,62.16798132,62.5912751,63.33069136,63.85726128
Africa Western and Central,56.03851892,56.39259824,56.62662156,57.03710429,57.14995634
Albania,78.358,78.643,78.9,79.238,79.467
Algeria,75.159,75.31,75.431,75.555,75.682
American Samoa,72.654,72.64,72.801,72.794,72.751
Andorra,84.532,84.489,84.359,84.242,84.098
Angola,61.042,61.619,62.122,62.622,63.051
Antigua and Barbuda,76.892,76.968,77.03,77.132,77.168
Arab World,70.65801237,70.89648812,71.11285601,71.43129979,71.83989327
Argentina,76.6,76.105,76.543,76.77,76.847
Armenia,74.87073171,74.86829268,75.21707317,75.6195122,76.22195122
Aruba,75.405,75.54,75.62,75.88,76.019
Australia,82.4,82.44878049,82.5,82.74878049,82.9
Austria,81.1902439,81.64146341,81.64390244,81.69268293,81.89512195
Azerbaijan,72.349,72.568,72.694,73.016,73.29
"Bahamas, The",73.805,74.042,74.031,74.062,71.408
Bahrain,80.338,80.407,80.407,80.412,80.471
Bangladesh,70.543,71.075,71.606,72.122,72.625
Barbados,76.055,76.168,76.237,76.378,76.495
Belarus,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927
Belgium,80.99268293,81.43902439,81.49268293,81.59512195,81.99512195
Belize,71.647,71.843,72.062,72.322,72.577
Benin,59.123,59.283,59.528,59.71,59.888
Bermuda,80.338,80.476,80.686,80.986,81.251
Bhutan,70.797,71.119,71.413,71.711,72.005
Bolivia,67.205,67.392,67.536,67.699,67.82
Bosnia and Herzegovina,77.073,77.124,77.385,77.942,77.394
Botswana,63.215,64.32,65.42,66.371,67.167
Brazil,75.106,75.081,75.383,75.633,75.809
British Virgin Islands,76.558,76.624,75.67,76.728,76.845
Brunei Darussalam,74.88,74.905,74.943,74.992,75.049
Bulgaria,74.61463415,74.81219512,74.81463415,74.96341463,75.11219512
Burkina Faso,58.778,59.173,59.578,59.972,60.184
Burundi,60.107,60.789,61.345,61.806,62.18
Cabo Verde,74.096,74.35,74.71,74.84,75.449
Cambodia,69.398,69.635,69.842,69.993,70.127
Cameroon,59.687,60.293,60.817,61.189,61.695
Canada,81.82585366,81.94,81.80780488,81.80365854,82.15853659
Caribbean small states,71.86410217,72.05163612,72.17310416,72.2210854,72.12926048
Cayman Islands,78.119,78.367,78.615,78.835,79.052
Central African Republic,51.934,50.999,45.231,52.297,31.53
Central Europe and the Baltics,76.57551198,76.97030623,76.92978872,76.97643808,77.26591419
Chad,51.32,51.603,51.875,52.447,52.993
Channel Islands,81.4,81.2,81,81.1,81.2
Chile,80.008,80.295,80.61,80.559,80.324
China,76.975,77.214,77.235,77.709,77.94
Colombia,76.067,76.228,76.418,76.579,76.793
Comoros,64.473,64.792,65.127,65.401,65.662
"Congo, Dem. Rep.",58.658,59.081,59.495,59.926,60.242
Congo,63.662,63.911,64.203,64.472,63.152
Costa Rica,80.407,79.988,79.994,80.09,80.296
Cote d'Ivoire,58.281,58.814,59.315,59.795,60.274
Croatia,77.27560976,77.92195122,77.72682927,77.9195122,78.22439024
Cuba,77.745,77.571,77.3,77.426,77.413
Curacao,76.482,76.322,76.423,76.493,76.492
Cyprus,81.464,81.534,81.543,81.556,81.454
Czechia,78.57804878,79.02682927,78.97804878,79.02926829,79.22926829
Denmark,80.70243902,80.85365854,81.10243902,80.95365854,81.45121951
Djibouti,62.833,63.335,63.71,64.105,64.381
Dominica,69.968,71.189,68.62,71.378,71.305
Dominican Republic,72.982,72.889,73.37,73.555,73.112
Early-demographic dividend,69.63054844,69.94848371,70.27299494,70.54866599,70.84240646
East Asia & Pacific,75.79260102,75.98701667,76.07899236,76.39142294,76.5862413
East Asia & Pacific (excluding high income),74.95112438,75.15591177,75.23967149,75.57828618,75.76896903
East Asia & Pacific (IDA & IBRD countries),74.97777684,75.183227,75.26716402,75.61012415,75.80428772
Ecuador,76.222,76.094,76.22,77.248,77.286
Egypt,70.135,70.437,70.709,70.974,71.213
El Salvador,70.952,70.908,71.007,71.384,71.725
Equatorial Guinea,60.635,61.081,61.481,61.915,62.297
Eritrea,65.909,66.242,66.612,66.979,67.306
Estonia,77.5902439,77.64146341,78.09268293,78.24390244,78.64634146
Eswatini,54.941,56.228,57.574,58.707,59.85
Ethiopia,63.592,64.162,64.766,65.257,65.741
Euro area,81.51926968,81.90745542,81.88380371,82.00276026,82.28042116
Europe & Central Asia,77.33093841,77.68128166,77.89901517,78.0318406,78.30387161
Europe & Central Asia (excluding high income),73.75540826,74.03137691,74.4033539,74.59279892,74.81583406
Europe & Central Asia (IDA & IBRD countries),73.3408133,73.69021098,74.13186818,74.2976622,74.59094626
European Union,80.57079653,80.9529786,80.93015117,81.03175101,81.31945249
Faroe Islands,81.79959756,81.9621122,82.10629268,82.24860244,82.39128293
Fiji,66.48,66.657,67.06,66.965,67.009
Finland,81.4804878,81.42926829,81.63170732,81.73414634,81.98292683
Fragile and conflict affected situations,60.74499311,60.98618367,61.22968269,61.78250831,62.13795455
France,82.32195122,82.57317073,82.57560976,82.67560976,82.82682927
French Polynesia,82.339,82.555,82.774,82.985,83.195
Gabon,66.336,66.583,66.816,67.043,67.337
Gambia,62.971,63.386,63.708,64.034,64.427
Georgia,73.241,73.136,73.435,73.985,74.165
Germany,80.64146341,80.9902439,80.99268293,80.89268293,81.29268293
Ghana,63.175,63.522,63.829,64.138,64.455
Gibraltar,82.668,82.741,82.858,83.028,83.183
Greece,81.03658537,81.38780488,81.28780488,81.78780488,81.63902439
Greenland,70.9097561,71.19902439,71.25634146,71.36097561,71.40926829
Grenada,75.037,75.01,74.977,74.957,74.971
Guam,76.444,76.449,76.463,76.561,76.645
Guatemala,70.915,71.215,71.583,71.496,71.639
Guinea,57.899,58.49,58.715,59.043,59.379
Guinea-Bissau,60.071,60.619,61.148,61.652,62.161
Guyana,67.719,68.069,68.543,68.829,69.067
Haiti,63.224,63.325,63.832,64.077,64.328
Heavily indebted poor countries (HIPC),61.56189814,62.00389143,62.31529904,62.79861634,63.08986199
High income,79.52431896,79.72431212,79.85362541,79.96663881,80.19926406
Honduras,71.323,71.615,71.805,72.001,72.124
Hong Kong,84.25268293,84.21146341,84.69560976,84.8697561,85.15585366
Hungary,75.56829268,76.06341463,75.81707317,76.06585366,76.3195122
IBRD only,73.03284902,73.2592309,73.48576078,73.79494395,74.03127189
Iceland,82.46829268,82.20487805,82.66097561,82.86097561,83.16341463
IDA & IBRD total,70.37172141,70.61404865,70.83089741,71.15301635,71.39393148
IDA blend,60.29449464,60.57616645,60.81839291,61.07405428,61.32599738
IDA only,63.88219189,64.31020009,64.60993321,65.17294222,65.58291385
IDA total,62.61359762,62.99198921,63.27374355,63.73096497,64.08856903
India,69.326,69.709,70.068,70.415,70.746
Indonesia,69.52,69.733,69.953,70.08,70.349
Iran,75.907,76.155,76.396,76.621,76.855
Iraq,69.977,68.683,69.788,71.116,71.245
Ireland,81.45365854,81.65365854,82.15609756,82.20487805,82.70243902
Isle of Man,80.267,80.391,80.506,80.614,80.74
Israel,82.05121951,82.40731707,82.55121951,82.80243902,82.80487805
Italy,82.54390244,83.24390244,82.94634146,83.34634146,83.49756098
Jamaica,72.214,72.052,71.879,71.606,71.532
Japan,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146
Jordan,75.06,75.55,76.071,76.491,76.865
Kazakhstan,72.024,72.549,72.996,73.369,73.658
Kenya,62.279,62.526,62.725,62.825,62.939
Kiribati,65.831,65.799,65.787,65.807,65.866
North Korea,72.825,72.971,73.034,73.02,72.928
South Korea,82.02439024,82.27560976,82.62682927,82.62682927,83.22682927
Kosovo,76.024,76.748,77.105,77.117,77.249
Kuwait,79.37656098,79.67758537,79.91607317,80.10636585,81.9697561
Kyrgyz Republic,70.65121951,70.95121951,71.2,71.4,71.6
Lao PDR,66.688,67.014,67.345,67.594,67.911
Late-demographic dividend,76.07623288,76.29289972,76.41743435,76.77814894,76.99796063
Latin America & Caribbean,74.74322219,74.67748488,74.83180879,75.0527172,75.20425987
Latin America & Caribbean (excluding high income),74.55539557,74.53064608,74.70065344,74.8906731,75.05135246
Latin America & the Caribbean (IDA & IBRD countries),74.65059041,74.58947943,74.76141014,74.9760978,75.13197115
Latvia,74.4804878,74.5804878,74.62926829,74.78292683,75.38780488
Least developed countries: UN classification,63.30497988,63.72379086,64.03405537,64.60233172,64.97250144
Lebanon,78.275,78.306,78.192,78.263,78.208
Lesotho,51.83,52.908,53.874,54.638,55.249
Liberia,59.248,60.483,60.777,60.999,61.232
Libya,71.644,71.799,72.721,73.151,72.941
Liechtenstein,82.65609756,82.25853659,83.74634146,83.04146341,84.16097561
Lithuania,74.32195122,74.67073171,75.4804878,75.6804878,76.28292683
Low & middle income,70.36751723,70.60594537,70.80800475,71.13417073,71.36949233
Low income,60.99229164,61.40181927,61.57966487,62.34009682,62.79753969
Lower middle income,67.3495072,67.6791939,67.99529154,68.28100336,68.55742563
Luxembourg,82.29268293,82.68536585,82.09512195,82.29512195,82.63902439
"Macao SAR, China",83.22439024,83.27560976,83.52682927,83.67804878,83.92926829
Madagascar,63.362,63.431,63.433,63.491,63.504
Malawi,62.324,63.163,63.914,64.464,64.995
Malaysia,75.288,75.371,75.542,75.734,75.9
Maldives,78.607,78.913,79.228,79.433,79.707
Mali,57.852,58.286,58.562,58.873,59.217
Malta,81.79756098,82.35365854,82.19512195,82.24878049,82.65853659
Marshall Islands,65.292,65.477,65.673,65.87,66.047
Mauritania,66.498,66.823,67.088,67.419,67.64
Mauritius,74.35317073,74.39487805,74.51463415,74.41634146,74.23585366
Mexico,74.431,74.376,74.261,74.301,74.53
"Micronesia, Fed. Sts.",65.306,65.576,65.761,65.943,66.196
"Middle East, North Africa, Afghanistan & Pakistan",70.15104093,70.42886352,70.70965927,70.94032135,71.2438695
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",69.28732636,69.53283764,69.81413164,70.0733669,70.41748459
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",69.25153486,69.49618264,69.77724095,70.03684444,70.38009178
Middle income,71.2070683,71.44218049,71.65968346,71.95979895,72.18926667
Moldova,70.118,70.179,70.375,70.236,70.181
Monaco,85.323,85.63,85.878,86.084,86.151
Mongolia,70.8102439,70.22390244,70.54341463,70.82707317,71.05317073
Montenegro,76.60243902,76.54146341,76.68536585,77.88536585,76.68292683
Morocco,72.894,73.228,73.608,73.946,74.245
Mozambique,58.711,59.455,60.148,60.79,61.306
Myanmar,65.288,65.64,65.909,66.232,66.457
Namibia,60.008,60.81,61.661,62.579,63.546
Nauru,60.897,60.996,61.101,61.238,61.393
Nepal,67.374,68.444,68.74,69.036,69.299
Netherlands,81.5097561,81.56097561,81.76097561,81.81219512,82.11219512
New Caledonia,77.206,77.359,77.504,77.557,77.262
New Zealand,81.61243902,81.65853659,81.85853659,81.70731707,82.05609756
Nicaragua,72.899,73.18,73.389,73.879,73.764
Niger,58.85,59.228,59.524,59.765,60.031
Nigeria,51.939,52.189,52.397,52.669,53.009
North America,79.00362547,78.88001038,78.86828828,78.96027679,79.13288972
North Macedonia,75.40243902,75.4,75.95365854,76.64878049,76.60243902
Northern Mariana Islands,77.36,77.392,77.47,77.51,77.844
Norway,82.30487805,82.40731707,82.6097561,82.75853659,82.95853659
Not classified,,,,,
OECD members,79.76194769,79.89142269,79.93091953,80.02803113,80.24492466
Oman,79.346,79.581,79.748,79.864,79.946
Other small states,71.47579356,71.77073419,72.1178743,72.42178504,72.65701164
Pacific island small states,68.1166096,68.28565086,68.5192875,68.58258879,68.64215783
Pakistan,65.641,65.943,66.223,66.481,66.729
Palau,69.07,69.046,69.019,68.989,68.982
Panama,77.583,77.772,77.901,78.266,78.514
Papua New Guinea,64.473,64.7,64.923,65.114,65.331
Paraguay,73.454,73.487,73.45,73.627,73.668
Peru,75.732,75.951,75.958,76.018,76.275
Philippines,69.45,69.49,69.966,69.761,69.68
Poland,77.45121951,77.85121951,77.75365854,77.60243902,77.90487805
Portugal,81.12439024,81.12439024,81.42439024,81.32439024,81.67560976
Post-demographic dividend,80.44005927,80.61119994,80.66482252,80.74411181,80.96991185
Pre-demographic dividend,58.93635452,59.23642646,59.5403226,60.20753357,60.55685312
Puerto Rico,80.677,80.355,79.07,81.086,81.438
Qatar,81.785,82.147,82.458,82.714,82.945
Romania,74.91219512,75.2097561,75.2097561,75.35853659,75.60731707
Russia,71.18341463,71.65121951,72.45146341,72.66219512,73.08390244
Rwanda,65.419,65.733,66.14,66.354,66.691
Samoa,71.06,71.003,70.991,71.052,70.269
San Marino,84.596,84.775,84.933,85.095,85.257
Sao Tome and Principe,66.023,66.563,67.074,67.602,68.043
Saudi Arabia,77.776,78.354,78.721,78.75,78.313
Senegal,66.451,66.724,67.059,67.379,67.668
Serbia,75.28780488,75.68780488,75.53902439,75.8902439,75.93658537
Seychelles,74.29512195,74.3097561,74.3,72.84146341,74.04634146
Sierra Leone,55.454,56.937,57.761,59.059,59.593
Singapore,82.74390244,82.84634146,83.09512195,83.29756098,83.59512195
Sint Maarten (Dutch part),75.899,75.952,75.455,75.693,75.68
Slovakia,76.56341463,77.16585366,77.16585366,77.26585366,77.66585366
Slovenia,80.77560976,81.17560976,81.02926829,81.37804878,81.52926829
Small states,71.12187705,71.37355076,71.65187524,71.86407356,72.00096073
Solomon Islands,69.323,69.501,69.652,69.806,69.981
Somalia,55.056,55.283,52.19,54.767,57.249
South Africa,64.053,64.749,65.422,65.726,66.071
South Asia,69.51103341,69.91847071,70.29047234,70.6523574,70.99756231
South Asia (IDA & IBRD),69.51103341,69.91847071,70.29047234,70.6523574,70.99756231
South Sudan,39.757,36.72,35.351,51.905,58.129
Spain,82.83170732,83.32926829,83.28292683,83.43170732,83.83170732
Sri Lanka,75.99,76.136,76.239,76.485,76.698
St. Kitts and Nevis,71.211,71.227,71.284,71.336,71.54
St. Lucia,72.932,72.552,72.522,72.655,72.249
St. Martin (French part),79.829,79.885,78.762,80.029,80.078
St. Vincent and the Grenadines,70.463,70.7,71.013,71.017,70.994
